Physical 0x00000000
0x80000000x : 0xea000008
0x80000004x : 0x124f800
0x80000008x : 0xe3001131
0x8000000cx : 0xee011f11
0x80000010x : 0xe30001da
0x80000014x : 0xe16ff000
0x80000018x : 0xe1b0f00e
0x8000001cx : 0x63fff
0x80000020x : 0xc42
0x80000024x : 0x4000008c
0x80000028x : 0xee110f10
0x8000002cx : 0xe3800004
0x80000030x : 0xe3800a01
0x80000034x : 0xee010f10
0x80000038x : 0xec510f1f
0x8000003cx : 0xe3800040
0x80000040x : 0xec410f1f
0x80000044x : 0xe3a00001
0x80000048x : 0xee0e0f33
0x8000004cx : 0xe51f1038
0x80000050x : 0xee011f51
0x80000054x : 0xe51f1058
0x80000058x : 0xee0e1f10
0x8000005cx : 0xe24f1064
0x80000060x : 0xee0c1f30
0x80000064x : 0xee1ccf10
0x80000068x : 0xf57ff06f
0x8000006cx : 0xe1600070
0x80000070x : 0xee0ccf10
0x80000074x : 0xe59f4080
0x80000078x : 0xee100fb0
0x8000007cx : 0xe7e10050
0x80000080x : 0xe3500000
0x80000084x : 0xa00000b
0x80000088x : 0xe3a05001
0x8000008cx : 0xe1a05015
0x80000090x : 0xe31500ff
0x80000094x : 0xa00000b
0x80000098x : 0xe51f507c
0x8000009cx : 0xe3a03000
0x800000a0x : 0xe2855040
0x800000a4x : 0xe320f002
0x800000a8x : 0xe7954200
0x800000acx : 0xe1540003
0x800000b0x : 0xafffffb
0x800000b4x : 0xe7854200
0x800000b8x : 0xe3a00000
0x800000bcx : 0xe51f10a4
0x800000c0x : 0xe59f2030
0x800000c4x : 0xe12fff14
0x800000c8x : 0xe320f003
0x800000ccx : 0xeafffffd
0x800000d0x : 0x0
0x800000d4x : 0x0
0x800000d8x : 0x0
0x800000dcx : 0x0
0x800000e0x : 0x0
0x800000e4x : 0x0
0x800000e8x : 0x0
0x800000ecx : 0x0
0x800000f0x : 0x0
0x800000f4x : 0x0
0x800000f8x : 0x2eff9600
0x800000fcx : 0x8000
0x80000100x : 0x55555555
0x80000104x : 0x55555557
0x80000108x : 0x5555d755
0x8000010cx : 0x5555575f
0x80000110x : 0x55555555
0x80000114x : 0x55557575
